model,display_name,family,size,status,route_available,syntax_checked,dry_run_checked,gpu_smoke_status,formal_run_status,route,script,evaluation_script,note
swinunet,Swin-UNet,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
swinunet,Swin-UNet,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
nnformer_2d,nnFormer,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
nnformer_2d,nnFormer,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
sepnet,SEPNet,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
sepnet,SEPNet,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
nulite,NuLite,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
nulite,NuLite,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
ukan,U-KAN,Other,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
ukan,U-KAN,Other,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
xlstm_unet_bot,xLSTM-UNet,Other,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
xlstm_unet_bot,xLSTM-UNet,Other,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
mamba_unet,Mamba-UNet,Mamba/SSM,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,mamba512,experiments/mamba/train_512.py,evaluation/families/evaluate_mamba_family.py,
mamba_unet,Mamba-UNet,Mamba/SSM,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_mamba_family.py,
vm_unet_v2,VM-UNet V2,Mamba/SSM,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,mamba512,experiments/mamba/train_512.py,evaluation/families/evaluate_mamba_family.py,
vm_unet_v2,VM-UNet V2,Mamba/SSM,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_mamba_family.py,
nnmamba_2d,nn-Mamba,Mamba/SSM,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,mamba512,experiments/mamba/train_512.py,evaluation/families/evaluate_mamba_family.py,
nnmamba_2d,nn-Mamba,Mamba/SSM,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_mamba_family.py,
swin_umamba,Swin-UMamba,Mamba/SSM,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,mamba512,experiments/mamba/train_512.py,evaluation/families/evaluate_mamba_family.py,
swin_umamba,Swin-UMamba,Mamba/SSM,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_mamba_family.py,
u_rwkv,U-RWKV,RWKV,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,rwkv512,experiments/rwkv/train_512.py,evaluation/families/evaluate_rwkv_family.py,
u_rwkv,U-RWKV,RWKV,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,rwkv224,experiments/rwkv/train_224_filtered.py,evaluation/families/evaluate_rwkv_family.py,U-RWKV Size_224 evaluation previously failed with a CUDA illegal-memory-access error.
rwkv_unet,RWKV-UNet,RWKV,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,rwkv512,experiments/rwkv/train_512.py,evaluation/families/evaluate_rwkv_family.py,
rwkv_unet,RWKV-UNet,RWKV,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,rwkv224,experiments/rwkv/train_224_filtered.py,evaluation/families/evaluate_rwkv_family.py,
segformer_b2,SegFormer-B2,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,segformer_native,experiments/segformer/train_512.py,evaluation/native/evaluate_segformer_b2.py,
segformer_b2,SegFormer-B2,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,segformer_native,experiments/segformer/train_224_filtered.py,evaluation/native/evaluate_segformer_b2.py,
sam2,SAM2,Foundation,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam512,experiments/foundation/train_sam2_512.py,evaluation/foundation/evaluate_sam_checkpoints.py,
sam2,SAM2,Foundation,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam224,experiments/foundation/train_sam_family_224_filtered.py,evaluation/foundation/evaluate_sam_checkpoints.py,
medsam,MedSAM,Foundation,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam512,experiments/foundation/train_medsam_512.py,evaluation/foundation/evaluate_sam_checkpoints.py,
medsam,MedSAM,Foundation,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam224,experiments/foundation/train_sam_family_224_filtered.py,evaluation/foundation/evaluate_sam_checkpoints.py,
samus,SAMUS,Foundation,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam512,experiments/foundation/train_samus_512.py,evaluation/foundation/evaluate_sam_checkpoints.py,
samus,SAMUS,Foundation,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam224,experiments/foundation/train_sam_family_224_filtered.py,evaluation/foundation/evaluate_sam_checkpoints.py,
sam3,SAM3,Foundation,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam3,experiments/foundation/sam3/train_interactive.py,evaluation/foundation/evaluate_sam3_official.py,Official SAM3 source commit 46957e47805e; weights are not distributed.
sam3,SAM3,Foundation,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,sam3,experiments/foundation/sam3/train_interactive.py,evaluation/foundation/evaluate_sam3_official.py,Official SAM3 source commit 46957e47805e; weights are not distributed.
yolo11s-seg,YOLO11s-seg,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo11s-seg,YOLO11s-seg,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo11m-seg,YOLO11m-seg,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo11m-seg,YOLO11m-seg,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo11l-seg,YOLO11l-seg,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo11l-seg,YOLO11l-seg,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo26m-sem,YOLO26m-sem,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo26m-sem,YOLO26m-sem,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo26l-sem,YOLO26l-sem,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo26l-sem,YOLO26l-sem,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo_family,experiments/yolo/train_family.py,,Training writes final unified metrics; no separate checkpoint-only evaluator is released for this route.
yolo26s-sem,YOLO26s-sem,YOLO,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo26s_native,experiments/yolo26s/train_512.py,evaluation/native/evaluate_yolo26s_sem.py,
yolo26s-sem,YOLO26s-sem,YOLO,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,yolo26s_native,experiments/yolo26s/train_224_filtered.py,evaluation/native/evaluate_yolo26s_sem.py,
s2denet,S2DENet,Other,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,s2denet,experiments/s2denet/train.py,,The training backend performs validation and test evaluation.
s2denet,S2DENet,Other,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,s2denet,experiments/s2denet/train.py,,The training backend performs validation and test evaluation.
usfm_transfer,USFM transfer,Foundation,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,usfm224,experiments/usfm/train_transfer_224.py,experiments/usfm/evaluate_zeroshot.py,Transfer experiment; not trained from scratch.
fpn_resnet34,FPN-ResNet34,Legacy transfer,512,evaluation_only,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,,,evaluation/legacy_resnet.py,Legacy joint B-line/consolidation checkpoint; benchmarked by zero-shot evaluation only.
fpn_resnet34,FPN-ResNet34,Legacy transfer,224,evaluation_only,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,,,evaluation/legacy_resnet.py,Legacy joint B-line/consolidation checkpoint; benchmarked by zero-shot evaluation only.
deeplabv3plus_resnet34,DeepLabV3+-ResNet34,Legacy transfer,512,evaluation_only,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,,,evaluation/legacy_resnet.py,Legacy joint B-line/consolidation checkpoint; benchmarked by zero-shot evaluation only.
deeplabv3plus_resnet34,DeepLabV3+-ResNet34,Legacy transfer,224,evaluation_only,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,,,evaluation/legacy_resnet.py,Legacy joint B-line/consolidation checkpoint; benchmarked by zero-shot evaluation only.
